??????????,season,track,episode
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 22 - Level 6"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 23 - What Is It You See in Your Eyes Right Now?"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 24 - Dear My Friends"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 1","พากย์ไทย","ตอน 25"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 1 - Railgun"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 2 - Critical"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 3 - Project Radio Noise"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 4 - Sisters"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 5 - Project Level 6 Shift"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 6 - I... Can See All of You"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 7 - I... I Want to Be of Help To You, Sissy"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 8 - ITEM"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 9 - AIM Stalker"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 10 - Meltdowner"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 11 - The Vending Machine"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 12 - Tree Diagram"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 13 - Accelerator"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 14 - The Promise"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 15 - Kamijo Toma"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 16 - Sisterhood"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 17 - Study Group"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 18 - Moving"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 19 - Academic Reach Assembly"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 20 - Febri"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 21 - Darkness"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 22 - STUDY"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 23 - Silent Party"
"A Certain Scientific Railgun [เรลกัน แฟ้มลับคดีวิทยาศาสตร์]","Season 2","พากย์ไทย","ตอน 24 - Eternal Party"
